Feature,Importance
Category_Grocery,0.27853038472239566
Agent_Rating,0.18099862402111597
distance_km,0.1088465853145729
Traffic_Low,0.10579109686593001
Agent_Age,0.08433752714552654
Weather_Sunny,0.061871472533851404
Weather_Cloudy,0.04658974370936189
Weather_Fog,0.03885792418381206
Vehicle_motorcycle,0.025818607154350772
Traffic_Jam,0.024220344982319175
Traffic_Medium,0.013743767921058228
Area_Metropolitian,0.006432788713446176
Area_Semi-Urban,0.005178614819491479
order_hour,0.0025079846134959008
Weather_Sandstorms,0.0022886326982964815
